,ID-ORDER,datetime,Q1a_lang1,Q2-1_Meetings_Freq,Q2-1_Meetings_Import,Q2-1_Meetings_Eng,Q2-1_Meetings_LES, Q2-2_PreparedStats_Freq,Q2-2_PreparedStats_Import,Q2-2_PreparedStats_Eng,Q2-2_PreparedStats_LES,Q2-3_PublicInter_Freq,Q2-3_PublicInter_Import,Q2-3_PublicInter_Eng,Q2-3_PublicInter_LES,Q2-4_SocialConv_Freq,Q2-4_SocialCon_Import,Q2-4_SocialCon_Eng,Q2-4_SocialCon_LES,Q2-5_CommPhone_Freq,Q2-5_CommPhone_Import,Q2-5_CommPhone_Eng,Q2-5_CommPhone_LES,Q2-6_ElicitGather_Freq,Q2-6_ElicitGather_Import,Q2-6_ElicitGather_Eng,Q2-6_ElicitGather_LES,Q2-7_SocialMedia_Freq,Q2-7_SocialMedia_Import,Q2-7_SocialMedia_Eng,Q2-7_SocialMedia_LES,Q2-8_EmailText_Freq,Q2-8_EmailText_Import,Q2-8_EmailText_Eng,Q2-8_EmailText_LES,Q2-9_MonitPubSpoken_Freq,Q2-9_MonitPubSpoken_Import,Q2-9_MonitPubSpoken_Eng,Q2-9_MonitPubSpoken_LES,Q2-10_MonitBroadcast_Freq,Q2-10_MonitBroadcast_Import,Q2-10_MonitBroadcast_Eng,Q2-10_MonitBroadcast_LES,Q2-11_GiveInstruct_Freq,Q2-11_GiveInstruct_Import,Q2-11_GiveInstruct_Eng,Q2-11_GiveInstruct_LES,Q2-12_MakeRequest_Freq,Q2-12_MakeRequest_Import,Q2-12_MakeRequest_Eng,Q2-12_MakeRequest_LES,Q2-13_Negotiate_Freq,Q2-13_Negotiate_Import,Q2-13_Negotiate_Eng,Q2-13_Negotiate_LES,Q2-14_Services_Freq,Q2-14_Services_Import,Q2-14_Services_Eng,Q2-14_Services_LES,Q2-15_SchedOrganize_Freq,Q2-15_SchedOrganize_Import,Q2-15_SchedOrganize_Eng,Q2-15_SchedOrganize_LES,Q2-16_Travel_Freq,Q2-16_Travel_Import,Q2-16_Travel_Eng,Q2-16_Travel_LES,Q2-17_WriteCorresp_Freq,Q2-17_WriteCorresp_Import,Q2-17_WriteCorresp_Eng,Q2-17_WriteCorresp_LES,Q2-18_SpeakExtempor_Freq,Q2-18_SpeakExtempor_Import,Q2-18_SpeakExtempor_Eng,Q2-18_SpeakExtempor_LES,Q2-19_ReadJobDocs_Freq,Q2-19_ReadJobDocs_Import,Q2-19_ReadJobDocs_Eng,Q2-19_ReadJobDocs_LES,Q2-20_Translate_Freq,Q2-20_Translate_Import,Q2-20_Translate_Eng,Q2-20_Translate_LES,Q2-21_Interpret_Freq,Q2-21_Interpret_Import,Q2-21_Interpret_Eng,Q2-21_Interpret_LES,Q2-22_MonitSpokenAccu_Freq,Q2-22_MonitSpokenAccu_Import,Q2-22_MonitSpokenAccu_Eng,Q2-22_MonitSpokenAccu_LES,Q2-23_ReviewEdit_Freq,Q2-23_ReviewEdit_Import,Q2-23_ReviewEdit_Eng,Q2-23_ReviewEdit_LES,Q2-24_Shop_Freq,Q2-24_Shop_Import,Q2-24_Shop_Eng,Q2-24_Shop_LES,Q2-25_OrderFood_Freq,Q2-25_OrderFood_Import,Q2-25_OrderFood_Eng,Q2-25_OrderFood_LES,Q2-26_Children_Freq,Q2-26_Children_Import,Q2-26_Children_Eng,Q2-26_Children_LES,Q2-27_Leisure_Freq,Q2-27_Leisure_Import,Q2-27_Leisure_Eng,Q2-27_Leisure_LES,Comments_Ratings,Translation_aids,Add_tasks,PostnRelabel,Bureau,Org Name,Country,Emp Grade,EmpGradeRank,Lang Cd,Emp Speak Proficiency 1,Speak Proficiency Plus,Emp Read Proficiency 1,Read Proficiency Plus,Postn Lang 1 Sp/Rd,Postn Lang 1 Sp,Postn Lang 1 Rd
0,NA00011,2017-09-05 21:53:00,Chinese (Mandarin),Weekly,Important,yes,no,Never - not applicable,Not important,yes,,Never - Can't do in the language,Not important,yes,,Daily,Very important,no,,Every few months,Very important,yes,,Weekly,Very important,yes,,Never - not applicable,,,,Daily,Very important,yes,,Weekly,Very important,yes,,Never - Can't do in the language,,,,Every few months,,,,Monthly,,yes,,Never - Can't do in the language,,yes,,Never - not applicable,,,,Monthly,Very important,,,Daily,Very important,,,Never - not applicable,Not important,,,Never - not applicable,Not important,yes,,Every few months,Important,,,Never - Can't do in the language,Not important,,,Every few months,Slightly important,,,Never - Can't do in the language,Not important,,,Never - Can't do in the language,Not important,,,Daily,Very important,,,Daily,Very important,,,Daily,Very important,,,Weekly,Very important,yes,,,,,Operations,EAP,BEIJING,PEOPLES REP OF CHINA,01,SENIOR,CM,3.0,,3.0,,CM,3,3
1,NA00012,2017-09-05 15:29:00,Romanian,Weekly,Important,yes,yes,Every few months,Important,yes,yes,Weekly,Very important,,,Monthly,Slightly important,,yes,Every few months,Not important,,yes,Daily,Very important,,,Monthly,Slightly important,yes,,Daily,Very important,yes,,Monthly,Important,,yes,Every few months,Not important,,,Daily,Very important,yes,,Daily,Very important,yes,,Never - not applicable,,,,Every few months,Slightly important,,yes,Daily,Very important,yes,,Daily,Very important,,,Weekly,Important,,yes,Every few months,Slightly important,,,Daily,Very important,,,Daily,Very important,,,Every few months,Not important,,yes,Daily,Very important,,,Monthly,Important,,yes,Daily,Very important,,,Daily,Very important,,,Daily,Very important,,,Daily,Very important,,,,,,Customer Service,EUR,BUCHAREST,ROMANIA,04,ENTRY,RQ,3.0,,3.0,,RQ,3,3
2,NA00013,2017-09-05 10:01:00,Spanish,Monthly,Very important,,yes,Every few months,Slightly important,no,yes,Never - not applicable,Not applicable,,,Daily,Very important,,,Monthly,Important,,yes,Daily,Very important,,yes,Weekly,Important,yes,,Daily,Very important,,yes,Weekly,Very important,,yes,Weekly,Very important,,yes,Daily,Very important,yes,yes,Daily,Very important,yes,yes,Never - not applicable,Not applicable,,,Daily,Very important,,yes,Never - not applicable,Not applicable,,,Daily,Very important,,yes,Weekly,Very important,,yes,Daily,Important,yes,,Daily,Very important,,,Weekly,Very important,,yes,Daily,Very important,,,Never - not applicable,Not applicable,,,Every few months,Slightly important,,yes,Weekly,Important,,,Monthly,Important,,,Daily,Very important,,,Weekly,Very important,,,,Written email notices that are delivered to a broad range of recipients within the Embassy community.,,Security,WHA,PANAMA,PANAMA,03,MID,QB,2.0,,2.0,,QB,2,2
3,NA00014,2017-09-05 08:48:00,French,Never - not applicable,,,,Never - not applicable,,,,Every few months,Important,,,Every few months,Important,,,Daily,Very important,,,Never - not applicable,,,,Never - not applicable,,,,Weekly,Very important,,,Never - not applicable,,,,Never - not applicable,,,,Every few months,Slightly important,,yes,Monthly,Slightly important,,,Never - not applicable,,,,Never - not applicable,,,,Monthly,Important,,,Never - not applicable,,,,Every few months,Slightly important,,,Never - not applicable,,,,Daily,Important,,,Never - not applicable,,,,Never - not applicable,,,,Never - not applicable,,,,Daily,Very important,,,Daily,Very important,,,Daily,Important,,,Daily,Very important,,,Weekly,Very important,,,,,,Manager,EUR,PARIS,FRANCE,05,ENTRY,FR,2.0,,2.0,,FR,2,2
4,NA00015,2017-09-05 02:27:00,Turkish,Monthly,Important,,yes,Never - not applicable,Not applicable,,,Never - not applicable,Not applicable,,,Monthly,Important,,yes,Daily,Important,,,Daily,,,,Monthly,Important,,yes,Monthly,Not important,,,Monthly,Very important,,yes,Weekly,Important,,yes,Daily,Important,yes,,Daily,Important,yes,,Never - not applicable,,,,Never - not applicable,,,,Every few months,Slightly important,,yes,Every few months,Slightly important,,,Never - Can't do in the language,,,,Never - Can't do in the language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Customer Service,EUR,ISTANBUL,TURKEY,03,MID,TU,3.0,,3.0,,TU,3,3
5,NA00016,2017-09-05 01:07:00,Arabic,Never - not applicable,,no,,Never - not applicable,,,,Never - not applicable,,,,Every few months,,yes,,Never - not applicable,,,,Daily,Very important,,,Weekly,,,,Never - not applicable,,,,Never - not applicable,,,,Weekly,,,,Never - not applicable,,,,Never - not applicable,,,,Never - not applicable,,,,Never - not applicable,,,,Never - not applicable,,,,Never - not applicable,,,,Never - not applicable,,,,Never - not applicable,,,,Weekly,Very important,,,Never - not applicable,,,,Daily,,,,Daily,,,,Never - not applicable,,,,Daily,,yes,,Weekly,,yes,,Never - not applicable,,,,Every few months,,yes,,"I am on a consular tour in an Arabic designated position in Kuala Lumpur.  Because of this, my environment is primarily English-speaking. I often use Arabic in my work, however, given the large Yemeni population in Malaysia.  ","On occasion I use Google translate or LE staff to assist with very technical translations.  Otherwise, by Arabic (2/1) level is sufficient for my work. ",,Customer Service,EAP,KUALA LUMPUR,MALAYSIA,04,ENTRY,AD,2.0,,1.0,,AD,2,1
6,NA00017,2017-09-04 21:04:00,Vietnamese,Daily,Very important,yes,,Monthly,Important,,,Weekly,Important,,,Weekly,Important,,,Weekly,Important,,,Daily,Important,yes,,Weekly,Important,,yes,Monthly,Slightly important,,yes,Daily,Very important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Operations,EAP,HANOI,VIETNAM,02,MID,VS,3.0,,3.0,,VS,3,3
7,NA00018,2017-09-03 03:04:00,Chinese (Mandarin),Monthly,Important,yes,,Monthly,Important,yes,,Every few months,Important,yes,,Every few months,Important,yes,,Weekly,Important,,,Daily,Important,,,Never - not applicable,,,,Daily,Very important,yes,,Monthly,Important,yes,,Never - not applicable,,,,Daily,Important,yes,,Daily,Very important,yes,,Never - not applicable,,,,Weekly,Important,yes,,Weekly,Important,yes,,Monthly,Important,,,Daily,Important,yes,,Monthly,Important,,,Daily,Very important,yes,,Never - not applicable,,,,Never - not applicable,,,,Never - not applicable,,,,Never - not applicable,,,,Weekly,Important,,,Weekly,Important,,,Monthly,Important,,,Weekly,Important,yes,,,,Visa interviews,Customer Service,EAP,SHANGHAI,PEOPLES REP OF CHINA,04,ENTRY,CM,2.0,0.5,1.0,0.5,CM,2,1
8,NA00019,2017-09-02 04:46:00,Arabic,Weekly,Very important,yes,yes,Weekly,Very important,,,Weekly,Very important,yes,,Daily,Very important,,,Every few months,Slightly important,yes,,Weekly,Very important,yes,,Daily,Very important,no,yes,Daily,Important,yes,,Every few months,Important,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Media,NEA,JERUSALEM,JERUSALEM,03,MID,AD,2.0,0.5,2.0,,AD,3,3
9,NA00020,2017-09-01 18:23:00,spanish,Every few months,Important,,yes,Never - Can't do in the language,Important,,yes,Every few months,Important,,yes,Daily,Very important,yes,,Weekly,Slightly important,,no,Monthly,Very important,,yes,Never - not applicable,,,,Weekly,Slightly important,yes,yes,Monthly,Important,no,yes,Never - not applicable,,,,Daily,Very important,yes,yes,Daily,Very important,yes,yes,Never - not applicable,,,,Never - not applicable,,,,Weekly,Important,yes,yes,Never - not applicable,,,,Weekly,Important,yes,yes,Every few months,Slightly important,,yes,Weekly,Important,yes,yes,Never - not applicable,,,,Never - not applicable,,,,Every few months,Important,yes,yes,Weekly,Important,yes,yes,Weekly,Not important,,no,Daily,Not important,yes,,Every few months,Very important,no,,Weekly,Very important,no,,"I have never given speechs on global warming, health care, etc. like I was trained to do at FSI. I have struggled daily with basic communications with interviewing visa/passport applicants, giving work instructions, and conducting basic life skills (setting up internet, describing problems in the apartment, etc.) ",All,"I have never given speechs on global warming, health care, etc. like I was trained to do at FSI. I have struggled daily with basic communications with interviewing visa/passport applicants, giving work instructions, and conducting basic life skills (setting up internet, describing problems in the apartment, etc.). It would be incredibly beneficial to have training in my actual job (visa/passport adjudications, American Citizen Services) and basic life survival skills (getting a phone, internet in the apartment) and not waste time memorizing speeches on lofty topics that will literally never come up in the course of my professional or personal life here. ",Customer Service,WHA,MEXICO -CITY D.F.,MEXICO,04,ENTRY,QB,3.0,,3.0,,QB,3,3
